epoch	batch	iter	loss	loss_cls	loss_box	OBOA	MAE	MAEP	MAEN	lr
1	1	1	5.209716796875	1.4264628887176514	3.7832536697387695	1.0	0.313725480392157	0.3205783717161485	0.313725480392157	5e-05
1	2	2	5.3905134201049805	1.382690668106079	4.007822513580322	0.0	4.875000041666667	4.875000041666667	0.039345074496794696	5e-05
epoch	batch	iter	loss	loss_cls	loss_box	OBOA	MAE	MAEP	MAEN	lr
1	1	1	5.564253807067871	1.491485357284546	4.072768688201904	1.0	0.11818180909090917	0.15520422265221878	0.11818180909090917	5e-05
1	2	2	4.883496284484863	1.4319987297058105	3.4514975547790527	1.0	0.03571426785714282	4.119841308302808	0.03571426785714282	5e-05
1	3	3	3.8325164318084717	1.4096400737762451	2.4228763580322266	0.0	0.362068959770115	0.19512196341463417	0.362068959770115	5e-05
1	4	4	4.2400031089782715	1.3270008563995361	2.9130022525787354	1.0	0.0701824052074631	0.0701824052074631	0.2706437401415571	5e-05
1	5	5	4.124796390533447	1.2514623403549194	2.8733339309692383	1.0	4.166666678351305e-08	4.166666678351305e-08	0.017241362068965538	5e-05
1	6	6	4.742160320281982	1.2679729461669922	3.4741873741149902	0.0	0.6247927251672589	0.3392857321428571	0.6247927251672589	5e-05
1	7	7	4.092281341552734	1.2876272201538086	2.804654121398926	1.0	0.1873044015646664	0.5714286190476191	0.1873044015646664	5e-05
1	8	8	3.023836135864258	1.2394840717315674	1.7843520641326904	1.0	0.1902421485754986	0.6001411001410868	0.1902421485754986	5e-05
1	9	9	3.0006461143493652	1.199784278869629	1.8008618354797363	1.0	0.06944443402777785	3.785714357142857	0.06944443402777785	5e-05
1	10	10	3.329761505126953	1.1530312299728394	2.176730155944824	0.0	0.2884615217948718	0.02820514102564105	0.2884615217948718	5e-05
